iter	RMSE
0	0.1306500964
1	0.1306190709
2	0.130588684
3	0.1305525272
4	0.1305173511
5	0.1304869051
6	0.1304547721
7	0.1304229184
8	0.1303926444
9	0.1303608127
10	0.1303293712
11	0.1302984959
12	0.1302685263
13	0.1302372437
14	0.1302056129
15	0.130174343
16	0.1301443552
17	0.130113036
18	0.1300804432
19	0.1300493195
20	0.1300160722
21	0.1299855127
22	0.1299512842
23	0.1299172634
24	0.1298874451
25	0.1298566064
26	0.1298227252
27	0.1297919197
28	0.1297613107
29	0.1297316499
30	0.1297008519
31	0.1296713034
32	0.1296413881
33	0.1296122881
34	0.1295822137
35	0.1295539448
36	0.1295233814
37	0.1294930768
38	0.129463496
39	0.129433193
40	0.129405308
41	0.1293754935
42	0.1293458324
43	0.1293158322
44	0.1292862985
45	0.1292542407
46	0.129223797
47	0.1291937796
48	0.12916057
49	0.1291309769
50	0.1291009211
51	0.1290722782
52	0.1290377606
53	0.1290077196
54	0.1289781789
55	0.1289496006
56	0.1289201415
57	0.1288907662
58	0.1288613415
59	0.1288315351
60	0.1288022252
61	0.1287726435
62	0.128743284
63	0.1287145411
64	0.1286851223
65	0.1286560705
66	0.1286253071
67	0.1285969775
68	0.1285641637
69	0.1285349979
70	0.128506043
71	0.1284732558
72	0.1284444143
73	0.1284155537
74	0.1283870827
75	0.1283597102
76	0.1283311975
77	0.1283042465
78	0.1282757022
79	0.1282480398
80	0.1282192734
81	0.1281912146
82	0.1281619124
83	0.1281334659
84	0.1280997887
85	0.1280729494
86	0.1280445032
87	0.1280163823
88	0.1279880456
89	0.1279609251
90	0.1279329278
91	0.127907062
92	0.1278796341
93	0.1278512357
94	0.1278231808
95	0.1277951851
96	0.1277680136
97	0.1277402533
98	0.1277120861
99	0.1276843559
