iter	Passed	Remaining
0	132	13074
1	135	6631
2	138	4480
3	141	3400
4	144	2750
5	147	2316
6	150	2004
7	153	1770
8	156	1586
9	159	1439
10	162	1318
11	165	1216
12	169	1131
13	171	1056
14	174	991
15	177	934
16	180	883
17	183	838
18	186	796
19	189	759
20	192	725
21	195	693
22	198	665
23	201	638
24	204	614
25	207	591
26	210	569
27	213	549
28	216	530
29	219	513
30	222	496
31	225	480
32	228	464
33	232	451
34	235	437
35	238	423
36	241	411
37	244	399
38	247	387
39	250	376
40	253	365
41	256	354
42	259	344
43	262	334
44	265	325
45	269	315
46	271	306
47	274	297
48	277	289
49	280	280
50	283	272
51	286	264
52	289	256
53	292	249
54	295	241
55	298	234
56	301	227
57	304	220
58	307	213
59	310	207
60	313	200
61	316	194
62	320	188
63	323	182
64	326	176
65	330	170
66	333	164
67	336	158
68	339	152
69	342	146
70	345	141
71	349	135
72	352	130
73	355	124
74	358	119
75	361	114
76	364	108
77	367	103
78	370	98
79	373	93
80	376	88
81	379	83
82	382	78
83	385	73
84	388	68
85	391	63
86	394	58
87	397	54
88	400	49
89	403	44
90	406	40
91	409	35
92	412	31
93	415	26
94	418	22
95	421	17
96	424	13
97	427	8
98	430	4
99	433	0
